2018 09 02				
'UIV-2026'				
2018 09 02				
'days'				
4				
'Oil Rate SC'	'Water Rate SC'	'Gas Rate SC'	'Well Bottom-hole Pressure'	
84	6052.750437	0.147280319	2747628.856	57215.50867
85	6330.631797	0.154724377	2780762.174	57110.93743
86	6150.477376	0.164917419	2803556.449	56538.28847
87	6612.687401	0.156753696	2684707.333	57669.72949
88	6314.137452	0.161698615	2644393.597	56452.33732
89	6647.50451	0.151223465	2799648.29	55457.36602
90	6347.405626	0.150201535	2632035.245	57438.99149
91	6560.903233	0.148912088	2771195.444	55215.99266
92	6527.142569	0.161763145	2786028.21	56726.9599
93	6383.280185	0.145220098	2753781.865	55312.55922
94	6229.726103	0.167540637	2754212.954	55618.98538
95	6526.669261	0.151929889	2820276.309	55938.28055
96	6622.375505	0.147808073	2684551.128	56327.29434
97	6532.336136	0.163318478	2777625.823	56558.42198
98	6336.766484	0.164868905	2620449.759	55988.86424
99	6396.502617	0.155275786	2652247.972	57549.71496
100	6450.910734	0.168337031	2629640.465	55872.78734
101	6223.735161	0.15068402	2617086.854	57390.04294
102	6114.992368	0.148664981	2615410.049	57577.602
103	6496.458148	0.171074973	2646084.452	55989.29656
104	6252.39291	0.152345896	2620823.274	57362.8004
105	6347.116742	0.159951604	2732174.243	56235.49227
106	6427.520985	0.151576809	2784194.41	55550.91186
107	6331.54945	0.150269542	2792660.609	55855.21072
108	6490.486725	0.162608594	2707002.179	55574.69111
109	6408.797994	0.16465156	2778356.833	56729.94573
110	6372.600834	0.16296643	2753226.1	56444.48497
111	6160.217691	0.156159298	2698812.12	56103.55763
112	6611.356729	0.161441043	2607381.71	56399.22397
113	6477.015728	0.16716321	2776980.689	56547.33813
114	6501.556021	0.161952966	2653988.154	57258.53185
115	6084.364994	0.176101644	2850687.822	57110.48448
116	6303.624947	0.169866289	2623093.193	55968.09272
117	6574.685637	0.172189985	2814778.181	56854.43072
118	6074.899512	0.177088044	2857379.316	57204.37174
119	6310.859221	0.165260827	2776597.398	56838.11531
120	6338.61167	0.159690588	2646440.724	57442.95929
121	6092.751437	0.164667472	2848123.026	55777.7086
122	6447.220985	0.173080944	2860325.887	55230.46761
123	6359.939445	0.169475668	2819873.977	57320.64641
124	6379.757138	0.159784127	2610889.094	56839.58199
125	6106.711505	0.172875073	2720408.222	55183.85264
126	6362.111759	0.1792957	2734215.067	57344.38235
127	6257.808702	0.165368711	2761250.938	56682.99067
128	6125.073991	0.164156626	2789337.012	57336.53771
129	6644.847478	0.167835064	2634220.351	56604.8515
130	6200.3769	0.173898489	2675323.666	56823.29621
131	6250.402251	0.161459867	2667483.837	55364.73238
132	6552.748635	0.172308565	2748770.435	55888.46046
133	6124.770458	0.168517594	2852989.986	55713.14868
134	6343.576606	0.167449945	2732854.682	56075.03961
135	6218.587369	0.175419584	2673467.108	56733.33124
136	6490.933589	0.156200518	2704117.22	56609.70318
137	6149.480012	0.171033367	2606996.484	55932.37616
138	6172.415147	0.181013661	2789710.259	55949.16829
139	6284.34926	0.157514233	2806553.54	55954.60855
140	6138.74923	0.158179193	2611473.674	57243.5565
141	6593.514991	0.166766694	2847127.626	55890.57381
142	6195.405646	0.166257066	2737583.715	56396.40451
143	6073.495491	0.165012071	2761387.878	56968.68706
144	6569.371014	0.175221268	2743599.794	55719.62916
145	6551.82022	0.158410962	2684382.949	56164.84313
146	6208.081214	0.176807605	2654636.082	56434.0426
147	6601.146665	0.162446416	2733944.449	56748.30971
148	6318.088268	0.167738322	2688282.083	55430.81324
149	6605.358682	0.174646709	2694884.217	54941.55319
150	6311.777988	0.16660799	2660725.005	55048.56656
151	6054.715099	0.183163153	2822256.23	56574.2685
152	6372.325626	0.174486316	2779345.429	56574.75384
153	6309.547749	0.160311645	2794251.538	55661.69313
154	6168.217205	0.184805913	2791833.697	55906.72487
155	6440.676157	0.169252004	2636106.491	56906.4397
156	6094.538314	0.16850543	2766808.362	56937.72376
157	6597.837942	0.181301295	2792663.593	56284.14308
158	6223.891342	0.1753797	2835492.779	55143.41956
159	6274.822937	0.179630182	2624432.371	55814.76862
160	6347.972687	0.176894097	2802912.491	56914.52597
161	6053.711725	0.163635061	2671184.966	55660.02318
162	6280.339262	0.186208147	2735612.002	54858.39286
163	6186.692133	0.164734056	2627370.687	54771.72872
164	6070.033874	0.161794041	2617658.51	54865.61481
165	6315.194598	0.185151409	2687645.724	56588.92774
166	6382.297772	0.18796517	2708217.396	56737.1047
167	6332.593236	0.168931533	2629511.393	56974.98586
168	6087.073619	0.163428325	2626792.142	54940.70662
169	6279.411732	0.174658176	2753716.516	56323.20396
170	6638.20748	0.175408131	2609452.19	56067.8994
171	6392.271871	0.181223626	2821831.14	57039.32545
172	6415.830362	0.169149464	2845748.93	56079.54781
173	6561.505365	0.183918553	2791921.297	56273.02255
174	6611.568935	0.162679247	2631716.96	55172.39533
175	6234.334729	0.167434967	2613733.603	56915.7013
176	6511.328019	0.184850858	2819119.886	56740.2585
177	6351.974406	0.189997588	2713972.109	56828.93976
178	6468.990713	0.165665325	2735252.254	56886.93749
179	6263.654194	0.17018512	2638335.099	54699.01212
180	6468.744466	0.164546782	2707231.036	56487.44443
181	0	0	0	58279.69618
182	0	0	0	60347.47949
183	6154.617009	0.110108146	2723581.37	56997.2463
184	6258.248034	0.135485185	2870731.379	57111.37586
185	6066.597729	0.157291438	2688371.437	57294.05384
186	6263.786418	0.150465481	2608995.414	56963.09743
187	6554.832155	0.156662224	2806369.306	55366.55267
188	6571.265115	0.163885049	2628123.915	56539.98236
189	6550.406711	0.17297725	2780202.631	56198.50528
190	6174.323487	0.158780712	2628798.12	54819.22913
191	6273.788575	0.179187627	2697229.696	56802.18734
192	6500.50941	0.173364327	2730028.778	55549.68216
193	6666.398444	0.161411493	2674198.122	55667.011
194	6580.458374	0.175948109	2710742.383	55097.01865
195	6348.823106	0.165978506	2870376.219	56539.55135
196	6584.442837	0.172848755	2621411.691	56306.11149
197	6538.232364	0.186985458	2633044.771	55310.79792
198	6537.211707	0.175689593	2672869.81	57102.83012
199	6075.058213	0.18229657	2720363.436	54959.91045
200	6247.6543	0.182383041	2637440.105	55931.98361
201	6366.48376	0.163857493	2760008.963	54914.68611
202	6614.761405	0.169265137	2746796.2	56708.83852
203	6107.153702	0.185481581	2728902.489	54987.14826
204	6644.816877	0.184560284	2738296.712	55275.15409
205	6641.189475	0.189627292	2826690.084	56510.63878
206	6171.554934	0.170327167	2660779.121	55129.8021
207	6193.733734	0.188387963	2714158.622	57066.37571
208	6081.912001	0.165314497	2859529.953	56831.58827
209	6479.114375	0.189036937	2855646.577	54733.52963
210	6253.091087	0.177150931	2726043.793	55854.83711
211	6463.111917	0.190342256	2873165.528	54999.28176
212	6451.001931	0.191098754	2619064.254	55194.99382
213	6063.490656	0.186722536	2699072.533	54601.00945
214	6374.054583	0.174431134	2866693.083	56313.3017
215	6630.455091	0.187518402	2724113.627	55044.96356
216	6090.769796	0.17873088	2789834.914	57039.72043
217	6473.311592	0.184359081	2722509.665	55327.7005
218	6655.448115	0.196995114	2869321.949	57007.09012
219	6473.368051	0.17412213	2791715.012	55042.57343
220	6175.30948	0.183066447	2811244.724	54666.78401
221	6070.327315	0.178465389	2767715.353	56747.57424
222	6050.282596	0.190710326	2726896.969	54971.96004
223	6279.630167	0.171516286	2808549.757	55647.19559
224	6662.606962	0.17031142	2617125.358	54685.16204
225	6540.621373	0.194603345	2837384.323	56758.56206
226	6272.639578	0.176351285	2618476.478	56718.03898
227	6280.479125	0.191099689	2609561.916	55332.22832
228	6524.27907	0.192222328	2786633.981	56069.48795
229	6092.14515	0.190811108	2675934.331	56627.37338
230	6592.006181	0.191398992	2733148.102	55178.25062
231	6249.608915	0.196107691	2693632.539	56549.96938
232	6573.793784	0.178048477	2759556.825	56815.8261
233	6523.899982	0.199239896	2622033.143	54992.05453
234	6536.255229	0.191824606	2746425.445	55458.09952
235	6138.277636	0.175729848	2626551.141	54578.69573
236	6090.708174	0.187902982	2859681.369	55441.45093
237	6096.979718	0.175950301	2640186.985	54843.3555
238	6617.772619	0.180433596	2758131.869	56682.20711
239	6450.579199	0.19375959	2795685.483	56296.37598
240	6415.383556	0.185789005	2665349.977	54543.93817
241	6161.400103	0.197298497	2707511.464	56878.09518
242	6173.509593	0.18980622	2832351.61	54869.22001
243	6133.836015	0.192285586	2622317.049	55736.25941
244	6521.366299	0.182073052	2804688.655	55018.69607
245	6563.701973	0.198032502	2796702.371	56059.17091
246	6385.986149	0.202551306	2681745.137	56048.01703
247	6593.305409	0.188554895	2609095.801	55855.49584
248	6215.920449	0.185516416	2714446.782	55596.35796
249	6646.67469	0.195335105	2696968.151	54485.13705
250	6432.969021	0.202192493	2638215.522	55330.54691
251	6605.772946	0.200409067	2795163.242	55929.37922
252	6309.434666	0.19210981	2773874.593	56222.27577
253	6056.736227	0.190359037	2848306.627	55281.99767
254	6404.535939	0.203147939	2650540.297	55543.64878
255	6646.182187	0.206210592	2862324.982	56769.7771
256	6546.640242	0.186138626	2819072.506	55121.19941
257	6074.984925	0.182941247	2696340.538	55590.88281
258	6173.18445	0.17916818	2851733.614	56317.62604
259	6163.814176	0.195425665	2866972.892	55304.58582
260	6117.018653	0.20496591	2781534.418	55443.01672
261	6306.504701	0.180775064	2811460.238	55476.96373
262	6427.185567	0.193203518	2703642.372	54967.66689
263	6131.527023	0.197742804	2638759.796	55891.73075
264	6299.117316	0.195542624	2791596.312	56443.73035
265	6110.367439	0.188289844	2744419.937	56160.01958
266	6624.132914	0.18879986	2794933.926	54590.98222
267	6595.228001	0.18986039	2821985.773	55022.47691
268	6436.725094	0.205530698	2621753.075	55024.01427
269	6224.568421	0.206727359	2729782.216	54471.46105
270	6075.114514	0.209175661	2832145.296	56195.12134
271	6594.508935	0.197191913	2666397.208	56559.75209
272	6421.326954	0.205496758	2612301.28	54908.07927
273	6348.744326	0.199815886	2809660.002	56562.34028
274	6630.630139	0.192954419	2834375.621	55098.32277
275	6086.694386	0.181988318	2611885.456	56801.90753
276	6259.214752	0.210567579	2753064.361	54700.92808
277	6519.884996	0.182122168	2687546.66	55741.59009
278	6464.285615	0.211439023	2671720.563	55628.52503
279	6101.882588	0.192628938	2772187.011	56512.01928
280	6612.076789	0.211254358	2863950.949	56766.0849
281	6187.216764	0.19807436	2820445.886	54526.46494
282	6330.39801	0.19421318	2689964.001	54896.45624
283	6142.706717	0.205717238	2694604.415	56573.65623
284	6461.110861	0.213349434	2682270.633	55760.18305
285	6344.736267	0.189253484	2856591.027	55940.63059
286	6648.366611	0.203535689	2695719.207	54325.27393
287	6198.947672	0.20066366	2837532.963	54719.49535
288	6116.521363	0.204399247	2665394.336	56200.58727
289	6151.641464	0.209293445	2728640.655	54528.54698
290	6266.522594	0.203472581	2844761.948	54674.21959
291	6200.287525	0.211606405	2738979.419	54568.16446
292	6151.149607	0.193223217	2716103.342	55583.97972
293	6208.713289	0.19852022	2776296.933	56304.5296
294	6638.93852	0.201715335	2640686.497	56028.11509
295	6563.105504	0.204737731	2720181.726	54805.02861
296	6146.766386	0.201395456	2840414.189	54832.05112
297	6206.388479	0.189075227	2873246.001	56406.85257
298	6267.957288	0.209788642	2653768.307	55699.33693
299	6368.801878	0.187089702	2763767.637	54547.93083
300	6212.754727	0.194177463	2678451.127	54907.18586
301	6636.593504	0.212816002	2800905.89	55762.18029
302	6479.469863	0.206844047	2766185.221	55589.20866
303	0	0	0	56869.3859
304	0	0	0	57656.23543
305	6617.546639	0.137855134	2776904.508	56588.30791
306	6573.947633	0.177076766	2620707.291	55017.49136
307	6532.829455	0.177157864	2709365.48	54954.04933
308	6424.024536	0.192703362	2661730.436	55683.24057
309	6284.617217	0.192745424	2645968.199	55700.40972
310	6325.004855	0.194836625	2613696.387	55139.21924
311	6162.929382	0.193136922	2615071.556	55460.4411
312	6271.008304	0.202325172	2699174.207	56398.92383
313	6417.23005	0.188772247	2643139.84	56549.52262
314	6249.941484	0.181671179	2840180.899	55899.42422
315	6151.324047	0.195876797	2843078.638	54885.99539
316	6059.830157	0.19649554	2611022.76	55543.03687
317	6324.505191	0.205463653	2635575.413	55346.03849
318	6289.856433	0.203237252	2866669.95	54909.65307
319	6568.549255	0.190575422	2788150.8	54488.62141
320	6206.655226	0.186238614	2861092.743	56223.0066
321	6279.256546	0.214062249	2753291.182	54567.49855
322	6324.274595	0.1950909	2673689.553	54600.62545
323	6610.69474	0.198428956	2864136.685	55436.12913
324	6118.994322	0.202901266	2608635.499	55331.9129
325	6238.466173	0.18881169	2848994.271	55958.39563
326	6063.092399	0.216514557	2842375.641	56211.57339
327	6239.278476	0.209561149	2643852.119	55564.76486
328	6472.403754	0.208646502	2787815.081	55859.87725
329	6518.877618	0.216882911	2629540.378	54794.70227
330	6501.647642	0.206495068	2726245.345	54932.72134
331	6226.335078	0.210812225	2642410.653	55549.82982
332	6366.871904	0.207722076	2791738.495	56105.58493
333	6500.777538	0.214225455	2834094.937	56423.10829
334	6149.160787	0.196171984	2685353.42	55048.90912
335	6546.777964	0.208961364	2716605.793	54683.78844
336	6060.557821	0.216341829	2773550.881	55207.10335
337	6408.583822	0.200784384	2632404.592	56256.5927
338	6597.16174	0.195165456	2721758.669	55880.63794
339	6464.559799	0.208569203	2723826.261	54931.20776
340	6479.068149	0.203864878	2636491.001	56159.27508
341	6384.589344	0.204837306	2687924.979	54582.30021
342	6399.910971	0.19551727	2793234.795	54775.96168
343	6254.820228	0.218163025	2681468.561	55983.08777
344	6293.095024	0.20961839	2789636.331	56170.52957
345	6666.398953	0.195037109	2657176.046	54812.3529
346	6500.055033	0.21306174	2746115.025	55141.47771
347	6480.010823	0.212119865	2735002.438	55022.79037
348	6334.10854	0.196430963	2809735.559	55113.11993
349	6179.345463	0.210952028	2836828.45	54557.3412
350	6171.845289	0.196716319	2609095.716	56351.42176
351	6619.166793	0.223836814	2843202.492	56236.25039
352	6664.847532	0.207035753	2819031.88	54565.03095
353	6450.102873	0.212741845	2731021.205	55003.62056
354	6524.348155	0.218744384	2789773.517	55670.0132
355	6397.091705	0.196519525	2755630.653	54206.01358
356	6073.889691	0.215201008	2652493.853	55890.05443
357	6390.422401	0.215471461	2782918.551	55831.15808
358	6108.366732	0.207928847	2781501.849	56372.12467
359	6660.066012	0.202699137	2724263.373	55705.64476
360	6645.008837	0.208881111	2824029.527	54644.23023
361	6619.3915	0.226637358	2843070.784	56196.13436
362	6289.160554	0.210221796	2723807.245	55191.56923
363	6335.407699	0.220237527	2856804.232	54470.68979
364	6551.001886	0.229109865	2631872.42	54618.30128
365	6396.975976	0.219981109	2818208.237	56280.27337
366	6594.471564	0.200360137	2689745.513	55330.49557
367	6559.729102	0.212310286	2620596.874	55671.93225
368	6627.569386	0.231135618	2613888.608	54200.18933
369	6265.657607	0.199541284	2807966.861	55147.07244
370	6462.340401	0.198875492	2709348.05	55853.7307
371	6131.789328	0.204757352	2672820.168	54763.98684
372	6448.718766	0.23221869	2691494.924	55625.19488
373	6282.527069	0.220064029	2837712.881	54274.89087
374	6598.455522	0.218310258	2670654.184	56266.94277
375	6184.912309	0.232005383	2789901.428	55035.9865
376	6173.123012	0.207488857	2679527.671	54757.16033
377	6129.048673	0.207564492	2696191.654	55074.02366
378	6557.383729	0.220475866	2706880.652	54362.39811
379	6377.513953	0.209164304	2606739.773	55801.19447
380	6597.396115	0.234833162	2636079.499	54527.88611
381	6266.731805	0.200835605	2786489.973	54804.02744
382	6614.946861	0.221132822	2677491.614	56301.36884
383	6162.976895	0.225792354	2673209.72	55903.92322
384	6352.273254	0.204390028	2794076.682	54728.23958
385	6521.090981	0.207417838	2764273.077	53972.0683
386	6212.756348	0.211257619	2685624.084	54728.55404
387	6438.022821	0.216728725	2668552.544	54036.74715
388	6630.228612	0.22331581	2682587.404	56321.23719
389	6214.398905	0.224308775	2873294.948	54852.06537
390	6423.078942	0.237012005	2706122.367	55818.28765
391	6559.099814	0.230882406	2817424.13	55854.44835
392	6285.110859	0.229721997	2647450.945	55270.41601
393	6563.066684	0.235924234	2618021.863	54301.13734
394	6238.825481	0.234536099	2732986.669	54070.74476
395	0	0	0	56336.04804
396	0	0	0	57696.48473
397	0	0	0	59190.51651
398	0	0	0	59998.04777
399	0	0	0	58801.80282
400	0	0	0	58922.33621
401	0	0	0	59433.13654
402	0	0	0	61170.10212
403	0	0	0	60905.46879
404	0	0	0	60791.78645
405	0	0	0	61340.99742
406	0	0	0	59679.1671
407	0	0	0	60149.84949
408	0	0	0	59979.79363
409	0	0	0	62149.43138
410	0	0	0	60315.65886
411	0	0	0	60840.18857
412	0	0	0	62144.14321
413	0	0	0	60396.26532
414	0	0	0	61458.56855
415	0	0	0	60700.65975
416	0	0	0	60061.90721
417	0	0	0	61612.62292
418	0	0	0	61607.95835
419	0	0	0	60884.97144
420	0	0	0	61958.34563
421	0	0	0	60407.02758
422	0	0	0	60814.15067
423	0	0	0	60846.27051
424	0	0	0	62058.99454
425	0	0	0	62594.29248
426	0	0	0	62487.38053
427	0	0	0	62051.39362
428	0	0	0	62449.51878
429	0	0	0	61405.05085
430	0	0	0	62168.59877
431	0	0	0	60524.21451
432	0	0	0	60583.02267
433	0	0	0	61465.2518
434	0	0	0	61357.11499
435	0	0	0	62230.18994
436	0	0	0	61255.81015
437	0	0	0	62040.03431
438	0	0	0	62808.83311
439	0	0	0	61056.24333
440	0	0	0	62549.18654
441	0	0	0	63075.94229
442	0	0	0	62773.21298
443	0	0	0	61156.9779
444	0	0	0	62001.92861
445	0	0	0	60822.75183
446	0	0	0	61930.90903
447	0	0	0	60795.13312
448	0	0	0	62670.67905
449	0	0	0	61389.85446
450	0	0	0	62747.15839
451	0	0	0	61854.69057
452	0	0	0	62501.97461
453	0	0	0	61411.51261
454	0	0	0	62429.65781
455	0	0	0	62370.80502
456	0	0	0	61973.72617
457	0	0	0	61888.12352
458	0	0	0	61996.76908
459	0	0	0	61064.16705
460	0	0	0	63374.97377
461	0	0	0	61862.86136
462	0	0	0	62937.72177
463	0	0	0	61390.47613
464	0	0	0	61487.64517
465	0	0	0	62806.56668
466	0	0	0	61913.47723
467	0	0	0	61353.87448
468	0	0	0	61889.28049
469	0	0	0	63049.46284
470	0	0	0	62746.86938
471	0	0	0	61847.91541
472	0	0	0	61273.34459
473	0	0	0	63080.49461
474	0	0	0	63355.19966
475	0	0	0	62174.88412
476	0	0	0	61205.25156
477	0	0	0	63563.29622
478	0	0	0	62014.80642
479	0	0	0	62935.7117
480	0	0	0	62280.12794
481	0	0	0	61805.78782
482	0	0	0	63238.50722
483	0	0	0	62541.82914
484	0	0	0	62332.2383
485	0	0	0	61218.85819
486	0	0	0	62286.33899
487	0	0	0	62511.18969
488	0	0	0	63487.94648
489	0	0	0	61784.3637
490	0	0	0	61502.32981
491	0	0	0	62771.83709
492	0	0	0	61427.59456
493	0	0	0	63670.5205
494	0	0	0	62299.65427
495	0	0	0	62135.74497
496	0	0	0	61877.64397
497	0	0	0	62070.08362
498	0	0	0	63357.23041
499	0	0	0	62765.86807
500	0	0	0	62496.06174
501	0	0	0	62886.51112
502	0	0	0	61649.98399
503	0	0	0	63627.53037
504	0	0	0	62774.0037
505	0	0	0	62142.83178
506	0	0	0	61734.47031
507	0	0	0	61861.37966
508	0	0	0	62745.93753
509	0	0	0	61480.51267
510	0	0	0	62253.02307
511	0	0	0	62156.44566
512	0	0	0	62843.83832
513	0	0	0	62625.54884
514	0	0	0	62792.90906
515	0	0	0	62771.04308
516	0	0	0	63402.78848
517	0	0	0	62899.95357
518	0	0	0	62579.5857
519	0	0	0	63540.8205
520	0	0	0	63581.72027
521	0	0	0	62544.28616
522	0	0	0	61452.75664
523	0	0	0	62006.47466
524	0	0	0	63236.68265
525	0	0	0	63185.67628
526	0	0	0	62262.14291
527	0	0	0	62884.79674
528	0	0	0	62479.84852
529	0	0	0	63187.77682
530	0	0	0	62503.08073
531	0	0	0	61988.43499
532	0	0	0	62461.98382
533	0	0	0	61903.47202
534	0	0	0	61986.70663
535	0	0	0	62503.1163
536	0	0	0	62113.47209
537	0	0	0	63481.66471
538	0	0	0	61792.80087
539	0	0	0	62099.34516
540	0	0	0	61921.7972
541	0	0	0	62075.45354
542	0	0	0	63699.35267
543	0	0	0	63759.21074
544	0	0	0	61939.72497
545	0	0	0	61962.72403
546	0	0	0	62937.78528
547	0	0	0	63879.1894
548	0	0	0	62587.04584
549	0	0	0	61625.19429
550	0	0	0	63583.17871
551	0	0	0	62989.24617
552	0	0	0	62982.59336
553	0	0	0	62838.84688
554	0	0	0	61654.68709
555	0	0	0	62705.83025
556	0	0	0	62855.83609
557	0	0	0	63995.21506
558	0	0	0	62951.2312
559	0	0	0	61569.65082
560	0	0	0	62774.50791
561	0	0	0	63505.33293
562	0	0	0	63097.08018
563	0	0	0	63677.58109
564	0	0	0	63709.32108
565	0	0	0	62677.48229
566	0	0	0	61852.02348
567	0	0	0	62469.20228
568	0	0	0	63184.71982
569	0	0	0	63748.34189
570	0	0	0	61788.91229
571	0	0	0	63864.97353
572	0	0	0	61611.11875
573	0	0	0	62516.989
574	0	0	0	63047.97769
575	0	0	0	63344.81672
576	0	0	0	63474.80759
577	0	0	0	63947.22116
578	0	0	0	62103.23659
579	0	0	0	63792.28965
580	0	0	0	61835.35938
581	0	0	0	62356.918
582	0	0	0	63734.79337
583	0	0	0	63779.76774
584	0	0	0	63726.88147
585	0	0	0	62334.33657
586	0	0	0	63853.82763
587	0	0	0	62890.01358
588	0	0	0	61936.30495
589	0	0	0	61883.81355
590	0	0	0	62663.16577
591	0	0	0	64036.64391
592	0	0	0	63556.89016
593	0	0	0	63883.66446
594	0	0	0	63286.53144
595	0	0	0	64062.53145
596	0	0	0	63191.02598
597	0	0	0	62502.35171
598	0	0	0	62544.46971
599	0	0	0	62867.02737
600	0	0	0	63656.33156
601	0	0	0	63113.05131
602	0	0	0	61929.55151
603	0	0	0	62225.31303
604	0	0	0	62241.05205
605	0	0	0	62237.42978
606	0	0	0	62714.2159
607	0	0	0	61921.33909
608	0	0	0	62620.15212
609	0	0	0	63658.95356
610	0	0	0	63184.7684
611	0	0	0	62073.28671
612	0	0	0	63163.28572
613	0	0	0	62265.85177
614	0	0	0	62166.89537
615	0	0	0	61673.04196
616	0	0	0	61631.67287
617	0	0	0	61706.84447
618	0	0	0	61690.84018
619	0	0	0	62218.09441
620	0	0	0	62196.98716
621	0	0	0	62447.42663
622	0	0	0	62905.17983
623	0	0	0	63942.6485
624	0	0	0	61918.63443
625	0	0	0	63680.81918
626	0	0	0	63173.03845
627	0	0	0	63527.0469
628	0	0	0	62958.15634
629	0	0	0	63456.00575
630	0	0	0	63545.99945
631	0	0	0	63421.42806
632	0	0	0	62523.74529
633	0	0	0	62759.02655
634	0	0	0	61863.00217
635	0	0	0	63946.93672
636	0	0	0	61794.67064
637	0	0	0	62939.65681
638	0	0	0	63298.33239
639	0	0	0	63396.40653
640	0	0	0	63418.19616
641	0	0	0	62220.58599
642	0	0	0	63491.50234
643	0	0	0	62442.65789
644	0	0	0	63629.29356
645	0	0	0	63309.01242
646	0	0	0	63740.94258
647	0	0	0	62873.82981
648	0	0	0	63900.58138
649	0	0	0	62647.54781
650	0	0	0	63336.79994
651	0	0	0	61992.88941
652	0	0	0	62914.92928
653	0	0	0	63496.71815
654	0	0	0	63371.31572
655	0	0	0	62874.74081
656	0	0	0	63824.82049
657	0	0	0	63270.51782
658	0	0	0	62302.91362
659	0	0	0	64099.72713
660	0	0	0	62620.35894
661	0	0	0	62346.32697
662	0	0	0	62526.32091
663	0	0	0	61730.77932
664	0	0	0	62627.68283
665	0	0	0	62371.41089
666	0	0	0	63197.00802
667	0	0	0	62355.00632
668	0	0	0	63357.61565
669	0	0	0	63571.84004
670	0	0	0	63588.69916
671	0	0	0	62008.25451
672	0	0	0	63699.5127
673	0	0	0	61771.90371
674	0	0	0	62292.64358
675	0	0	0	62723.05768
676	0	0	0	62880.44582
677	0	0	0	62174.48898
678	0	0	0	63964.00019
679	0	0	0	63917.71011
680	0	0	0	63982.8306
681	0	0	0	62836.16138
682	0	0	0	63836.73507
683	0	0	0	62649.07387
684	0	0	0	63441.60861
685	0	0	0	62603.30067
686	0	0	0	61944.70449
687	0	0	0	62809.26699
688	0	0	0	64000.71619
689	0	0	0	64044.52177
690	0	0	0	62183.08477
691	0	0	0	61912.49553
692	0	0	0	61862.66731
693	0	0	0	63285.28474
694	0	0	0	62887.91251
695	0	0	0	63326.32381
696	0	0	0	63112.4874
697	0	0	0	62653.78713
698	0	0	0	61957.35735
699	0	0	0	62479.69432
700	0	0	0	62547.9093
701	0	0	0	62843.33348
702	0	0	0	63077.97412
703	0	0	0	62442.8308
704	0	0	0	62627.50853
705	0	0	0	62956.97732
