WELL	DAY	QWIO	PWFO
Inj-1	1624.609985	4585.7	39040
Inj-1	1624.800049	4425.1	40138
Inj-1	1625.27002	4453.3	37439
Inj-1	1625.52002	4539.7	39131
Inj-1	1626.160034	4386.6	39570
Inj-1	1626.310059	4623.4	39190
Inj-1	1626.680054	4547.7	37853
Inj-1	1627.609985	4460.1	40205
Inj-1	1627.780029	4428.3	38040
Inj-1	1628.209961	4533.3	39890
Inj-1	1628.310059	4374.6	40243
Inj-1	1628.430054	4591.4	39143
Inj-1	1628.560059	4526.8	38880
Inj-1	1628.699951	4328.6	39614
Inj-1	1628.859985	4494.8	39260
Inj-1	1629.26001	4630.3	39768
Inj-1	1629.359985	4440.1	37898
Inj-1	1629.469971	4477.4	40152
Inj-1	1629.589966	4345.4	37607
Inj-1	1629.719971	4588.7	37735
Inj-1	1629.869995	4390	39601
Inj-1	1630.22998	4335.8	37548
Inj-1	1630.469971	4609.1	40239
Inj-1	1631.069946	4610.3	40539
Inj-1	1631.219971	4498.4	40144
Inj-1	1631.380005	4552.4	38061
Inj-1	1631.569946	4305.2	37594
Inj-1	1631.77002	4445.9	38580
Inj-1	1631.939941	4536.8	39451
Inj-1	1632.369995	4535.7	40585
Inj-1	1632.609985	4563.5	37904
Inj-1	1633.219971	4312.9	38374
Inj-1	1633.369995	4310.2	39299
Inj-1	1633.530029	4452.5	40516
Inj-1	1633.719971	4438.7	40467
Inj-1	1633.920044	4412	37649
Inj-1	1634.099976	4347.7	38008
Inj-1	1634.569946	4406.2	38441
Inj-1	1634.689941	4441.4	39731
Inj-1	1634.819946	4615.6	40523
Inj-1	1634.959961	4386.4	39462
Inj-1	1635.119995	4614.1	39331
Inj-1	1635.280029	4587.6	40001
Inj-1	1635.680054	4567.9	40580
Inj-1	1635.780029	4421.6	37886
Inj-1	1635.890015	4586.5	37907
Inj-1	1636.01001	4363.9	39699
Inj-1	1636.140015	4585.3	38548
Inj-1	1636.290039	4303.4	37744
Inj-1	1636.650024	4285.3	40527
Inj-1	1636.73999	4335.1	38052
Inj-1	1636.839966	4551.6	37746
Inj-1	1636.959961	4633.4	40384
Inj-1	1637.079956	4522.9	39679
Inj-1	1637.209961	4332.3	37883
Inj-1	1637.550049	4530.5	38942
Inj-1	1638.400024	4453.4	40565
Inj-1	1638.630005	4480.4	37563
Inj-1	1639.209961	4322	39650
Inj-1	1639.530029	4471.6	38954
Inj-1	1639.599976	4598.8	39039
Inj-1	1639.689941	4382.3	39929
Inj-1	1639.790039	4560.7	38189
Inj-1	1639.890015	4529.9	38105
Inj-1	1640.01001	4607.2	39420
Inj-1	1640.300049	4342.4	39306
Inj-1	1641.02002	4561.8	40497
Inj-1	1641.300049	4354.9	39017
Inj-1	1642	4527.3	39800
Inj-1	1642.900024	4363.5	39051
Inj-1	1643	4418.8	37363
Inj-1	1643.01001	4314.6	40111
Inj-1	1643.040039	4316.6	37861
Inj-1	1643.109985	4367.2	37736
Inj-1	1643.130005	4482.9	38926
Inj-1	1643.150024	4413.2	37708
Inj-1	1643.170044	4385.6	38198
Inj-1	1643.199951	4321.9	40309
Inj-1	1643.219971	4469.4	40087
Inj-1	1643.290039	4549.3	39671
Inj-1	1643.449951	4469.1	39010
Inj-1	1643.859985	4357.3	39694
Inj-1	1643.900024	4423.2	38270
Inj-1	1643.97998	4532.1	39572
Inj-1	1644.189941	4481.3	39964
Inj-1	1644.699951	4292.6	37589
Inj-1	1644.810059	4316.8	38633
Inj-1	1645.099976	4424.7	40262
Inj-1	1645.170044	4400.9	40061
Inj-1	1645.25	4545.5	38953
Inj-1	1645.339966	4596	37728
Inj-1	1645.430054	4504.6	37874
Inj-1	1645.530029	4364.9	39433
Inj-1	1645.76001	4607.2	38205
Inj-1	1646.359985	4297.5	38913
Inj-1	1646.439941	4284.7	40176
Inj-1	1646.650024	4334	38571
Inj-1	1647.180054	4338.3	39323
Inj-1	1647.23999	4598.1	38587
Inj-1	1647.400024	4359.8	39220
Inj-1	1647.810059	4305.3	38051
Inj-1	1648.819946	4289.7	38110
Inj-1	1648.900024	4338.7	39389
Inj-1	1649.099976	4577.3	39335
Inj-1	1649.599976	4359.4	38755
Inj-1	1649.72998	4301.1	38582
Inj-1	1649.869995	4515.6	40526
Inj-1	1650.02002	4546.9	40074
Inj-1	1650.189941	4320.7	38179
Inj-1	1650.369995	4556.4	37601
Inj-1	1650.810059	4425.6	38169
Inj-1	1651.02002	4412.2	37678
Inj-1	1651.540039	4291.6	38111
Inj-1	1652.849976	4410.1	40611
Inj-1	1653.01001	4283.1	40576
Inj-1	1653.410034	4522.1	39976
Inj-1	1653.680054	4596.5	39077
Inj-1	1654.329956	4309.3	39247
Inj-1	1654.47998	4329.3	38771
Inj-1	1654.859985	4595.2	39247
Inj-1	1655.819946	4306.2	38087
Inj-1	1655.97998	4417.8	37648
Inj-1	1656.380005	4591.4	39581
Inj-1	1657.380005	4619.2	38257
Inj-1	1657.51001	4404.9	38732
Inj-1	1657.839966	4339.3	38733
Inj-1	1658.650024	4587.1	38084
Inj-1	1658.810059	4346.7	40276
Inj-1	1659.22998	4350.4	39443
Inj-1	1659.329956	4478.8	39370
Inj-1	1659.449951	4359.9	39757
Inj-1	1659.569946	4327.9	39495
Inj-1	1659.709961	4361.1	39128
Inj-1	1659.869995	4390.2	38272
Inj-1	1660.25	4524.6	39025
Inj-1	1660.47998	4460.1	38304
Inj-1	1661.040039	4299.2	37708
Inj-1	1661.300049	4483.3	39551
Inj-1	1661.959961	4453.3	38218
Inj-1	1662.27002	4460.8	38783
Inj-1	1663.069946	4414.3	37676
Inj-1	1663.22998	4407.2	39172
Inj-1	1663.650024	4384.6	39481
Inj-1	1664.689941	4481.8	39856
Inj-1	1664.930054	4400.5	38179
Inj-1	1665.530029	4464.4	37444
Inj-1	1665.680054	4493.6	40370
Inj-1	1665.829956	4592.2	39428
Inj-1	1666	4604.7	38235
Inj-1	1666.170044	4412.7	39540
Inj-1	1666.359985	4325.6	38488
Inj-1	1666.819946	4305.3	39925
Inj-1	1667.98999	4289.6	37938
Inj-1	1668.23999	4283.5	39938
Inj-1	1668.869995	4334.2	38515
Inj-1	1669.02002	4524.9	37785
Inj-1	1669.199951	4335.7	39123
Inj-1	1669.390015	4356.9	38511
Inj-1	1669.599976	4453	37983
Inj-1	1669.819946	4300.7	37401
Inj-1	1670.369995	4351.4	37875
Inj-1	1670.630005	4449.5	37626
Inj-1	1671.290039	4477.2	38004
Inj-1	1671.48999	4479.3	39396
Inj-1	1672	4477.2	38430
Inj-1	1672.310059	4378.3	39260
Inj-1	1672.900024	4331.7	39134
Inj-1	1673	4353	37658
Inj-1	1673.01001	4522.8	38959
Inj-1	1673.030029	4460.4	39643
Inj-1	1673.099976	4503.6	39640
Inj-1	1673.25	4393.9	40112
Inj-1	1673.280029	4493.4	38402
Inj-1	1673.359985	4505.9	40574
Inj-1	1673.540039	4461.5	38945
Inj-1	1673.609985	4536.3	39505
Inj-1	1673.790039	4313.8	38758
Inj-1	1674.219971	4390.2	40322
Inj-1	1674.280029	4499.3	37463
Inj-1	1674.420044	4577.8	38673
Inj-1	1674.77002	4483.1	38969
Inj-1	1674.839966	4632.3	39264
Inj-1	1675	4379.4	39438
Inj-1	1675.400024	4575	40522
Inj-1	1675.449951	4433.9	38287
Inj-1	1675.599976	4335.2	40454
Inj-1	1675.959961	4319	38970
Inj-1	1676.040039	4358.3	39819
Inj-1	1676.23999	4336.7	40388
Inj-1	1676.73999	4637.1	38666
Inj-1	1676.819946	4405	39823
Inj-1	1677.01001	4579.7	39843
Inj-1	1677.47998	4310.9	39009
Inj-1	1677.589966	4433.2	38261
Inj-1	1677.859985	4390	38356
Inj-1	1677.930054	4602.2	37500
Inj-1	1678	4567.4	38618
Inj-1	1678.089966	4542.7	37537
Inj-1	1678.180054	4285.3	38881
Inj-1	1678.280029	4302.9	39589
Inj-1	1678.530029	4413.4	38985
Inj-1	1678.650024	4592.2	40624
Inj-1	1678.949951	4350	37938
Inj-1	1679.030029	4425	39276
Inj-1	1679.109985	4546.5	40588
Inj-1	1679.199951	4569	39066
Inj-1	1679.300049	4449.3	39002
Inj-1	1679.420044	4421	38060
Inj-1	1679.699951	4459.3	38482
Inj-1	1680.390015	4435.2	39728
Inj-1	1680.48999	4491.7	39748
Inj-1	1680.73999	4582.9	39534
Inj-1	1681.349976	4494.9	38578
Inj-1	1681.439941	4512.6	40057
Inj-1	1681.660034	4455	39189
Inj-1	1682.209961	4356.5	39378
Inj-1	1682.359985	4350.8	38961
Inj-1	1682.73999	4539.5	38269
Inj-1	1682.829956	4326	38685
Inj-1	1682.930054	4422.6	38771
Inj-1	1683.030029	4339.9	37880
Inj-1	1683.150024	4610.7	40124
Inj-1	1683.280029	4482.8	37635
Inj-1	1683.609985	4523.1	37906
Inj-1	1683.689941	4336	40651
Inj-1	1683.780029	4561.2	40632
Inj-1	1683.869995	4363.7	38733
Inj-1	1683.97998	4340.8	37774
Inj-1	1684.089966	4396.6	39857
Inj-1	1684.380005	4496.7	39088
Inj-1	1685.089966	4606.3	38539
Inj-1	1685.23999	4408.5	38876
Inj-1	1685.630005	4385.5	39095
Inj-1	1685.869995	4477.1	38745
Inj-1	1686.050049	4445.1	40566
Inj-1	1686.51001	4528.2	39223
Inj-1	1686.670044	4562.9	38996
Inj-1	1687.079956	4591.8	37835
Inj-1	1687.310059	4309.2	37605
Inj-1	1687.880005	4502.2	40114
Inj-1	1688.030029	4523.3	39131
Inj-1	1688.410034	4535.3	38587
Inj-1	1689.359985	4536.3	39029
Inj-1	1689.530029	4538.8	38363
Inj-1	1689.969971	4426	39832
Inj-1	1690.189941	4459.5	37993
Inj-1	1690.73999	4365.4	38981
Inj-1	1690.910034	4435.7	39877
Inj-1	1691.359985	4615.6	40003
Inj-1	1691.469971	4314.1	39914
Inj-1	1691.589966	4532.1	39476
Inj-1	1691.72998	4308.5	38077
Inj-1	1691.869995	4497.3	39796
Inj-1	1692.040039	4500.1	37841
Inj-1	1692.449951	4600.3	39444
Inj-1	1693.469971	4440	39818
Inj-1	1693.650024	4390.1	40734
Inj-1	1694.089966	4464.2	37779
Inj-1	1695.180054	4369.6	39598
Inj-1	1695.339966	4622.6	37714
Inj-1	1695.73999	4486	38094
Inj-1	1695.949951	4389.1	38991
Inj-1	1696.459961	4305.1	39185
Inj-1	1696.719971	4600.1	40378
Inj-1	1697.380005	4466.3	38961
Inj-1	1697.52002	4363.9	38646
Inj-1	1697.869995	4478	38217
Inj-1	1698.75	4298.5	40826
Inj-1	1698.969971	4348.1	40487
Inj-1	1699.199951	4564.2	37751
Inj-1	1699.410034	4431	38162
Inj-1	1699.630005	4396.4	38911
Inj-1	1699.869995	4510.9	38449
Inj-1	1700.449951	4461.2	39581
Inj-1	1700.719971	4536.7	40652
Inj-1	1700.790039	4442	40308
Inj-1	1700.869995	4355.1	38905
Inj-1	1700.949951	4581.3	40297
Inj-1	1701.040039	4377.7	39100
Inj-1	1701.140015	4513.9	40471
Inj-1	1701.390015	4476.5	39470
Inj-1	1701.449951	4565.3	39891
Inj-1	1701.52002	4362.6	38810
Inj-1	1701.599976	4363.2	37768
Inj-1	1701.680054	4601.9	40650
Inj-1	1701.780029	4578.4	38277
Inj-1	1702.01001	4548.5	40112
Inj-1	1702.589966	4522.8	39071
Inj-1	1702.849976	4514.2	40336
Inj-1	1703.5	4285.7	38581
Inj-1	1703.72998	4418.8	39535
Inj-1	1703.900024	4379.3	39050
Inj-1	1704	4411.7	37756
Inj-1	1704.25	4324	40945
Inj-1	1704.880005	4296.9	39860
Inj-1	1705.140015	4414.8	37983
Inj-1	1705.790039	4510.9	40466
Inj-1	1705.949951	4573.6	39707
Inj-1	1706.130005	4353.2	40463
Inj-1	1706.310059	4342.8	39029
Inj-1	1706.51001	4618.8	40837
Inj-1	1706.689941	4347.5	39218
Inj-1	1707.150024	4368.2	40456
Inj-1	1708.290039	4332	40107
Inj-1	1708.630005	4520.5	39610
Inj-1	1709.469971	4416.4	38429
Inj-1	1709.650024	4434.9	40709
Inj-1	1710.099976	4316.8	38087
Inj-1	1711.22998	4600.7	38283
Inj-1	1711.420044	4438.9	40229
Inj-1	1711.890015	4365.6	38784
Inj-1	1713.079956	4446.1	38313
Inj-1	1713.339966	4367.2	39769
Inj-1	1714.01001	4493	40212
Inj-1	1714.310059	4426.7	39331
Inj-1	1715.060059	4558	39291
Inj-1	1715.319946	4307.2	38054
Inj-1	1715.949951	4579.2	39290
Inj-1	1716.25	4635.5	40816
Inj-1	1716.969971	4525.2	38555
Inj-1	1717.209961	4452.7	39624
Inj-1	1717.819946	4592.6	40239
Inj-1	1718.180054	4421.7	38365
Inj-1	1719.089966	4343.1	39789
Inj-1	1719.359985	4426	39316
Inj-1	1720.02002	4332.3	40214
Inj-1	1721.670044	4530.9	40730
Inj-1	1721.869995	4467.6	38615
Inj-1	1722.369995	4445	40834
Inj-1	1723.609985	4402.6	40574
Inj-1	1723.900024	4568.4	40967
Inj-1	1724.619995	4418.9	40327
Inj-1	1724.890015	4508.8	40966
Inj-1	1725.569946	4315.5	37991
Inj-1	1725.790039	4532.4	40770
Inj-1	1726.349976	4409.6	38175
Inj-1	1726.48999	4477.8	40577
Inj-1	1726.640015	4311.2	39853
Inj-1	1726.810059	4480.1	39310
Inj-1	1726.98999	4466.2	40164
Inj-1	1727.199951	4424.1	38727
Inj-1	1727.709961	4512.3	39972
Inj-1	1728.050049	4559.4	38739
Inj-1	1728.900024	4355.9	38062
Inj-1	1731.01001	4557.5	40975
Inj-1	1731.23999	4610.1	39190
Inj-1	1731.810059	4292.8	40469
Inj-1	1733.23999	4290.5	40277
Inj-1	1733.439941	4534.6	39596
Inj-1	1733.900024	4376.2	38553
Inj-1	1733.910034	4388.2	41128
Inj-1	1733.920044	4569	39158
Inj-1	1733.930054	4575.5	40089
Inj-1	1733.939941	4465.3	39893
Inj-1	1733.969971	4527.5	40606
Inj-1	1734	4432.4	37952
Inj-1	1734.069946	4563.2	38841
Inj-1	1734.089966	4305.7	38658
Inj-1	1734.130005	4543.4	38776
Inj-1	1734.219971	4468.8	40598
Inj-1	1734.449951	4522.8	38905
Inj-1	1734.48999	4604.7	40085
Inj-1	1734.579956	4509.2	38458
Inj-1	1734.810059	4478.8	38915
Inj-1	1735.390015	4507.9	40471
Inj-1	1735.51001	4584.1	39666
Inj-1	1735.800049	4574.6	38552
Inj-1	1735.920044	4332.3	39769
Inj-1	1736.209961	4598	40647
Inj-1	1736.930054	4297.8	39149
Inj-1	1737.150024	4360.9	39920
Inj-1	1737.680054	4633.3	39408
Inj-1	1737.810059	4379.8	37969
Inj-1	1737.939941	4449.9	38642
Inj-1	1738.069946	4381.8	41031
Inj-1	1738.219971	4577.7	40856
Inj-1	1738.390015	4313.9	39488
Inj-1	1738.800049	4346.5	38295
Inj-1	1739.040039	4423	40026
Inj-1	1739.619995	4453.3	38124
Inj-1	1739.77002	4320.1	40959
Inj-1	1739.930054	4521.1	38449
Inj-1	1740.109985	4570.4	40231
Inj-1	1740.300049	4349.4	40278
Inj-1	1740.430054	4295	40653
Inj-1	1740.77002	4636.8	39800
Inj-1	1740.859985	4480.8	38226
Inj-1	1740.949951	4324.2	39060
Inj-1	1741.050049	4425.4	38585
Inj-1	1741.170044	4506.2	40168
Inj-1	1741.290039	4483.8	40531
Inj-1	1741.599976	4452.7	39901
Inj-1	1741.680054	4405.1	39059
Inj-1	1741.77002	4291.9	39909
Inj-1	1741.859985	4580.7	39241
Inj-1	1741.969971	4456.8	39839
Inj-1	1742.079956	4283.8	39493
Inj-1	1742.369995	4361.2	41020
Inj-1	1743.089966	4485.4	38788
Inj-1	1743.339966	4610.8	39282
Inj-1	1743.97998	4316.1	38614
Inj-1	1744.26001	4597.8	38674
Inj-1	1744.959961	4329.9	40817
Inj-1	1745.290039	4517.5	38422
Inj-1	1746.130005	4296	39826
Inj-1	1746.339966	4392.2	39699
Inj-1	1746.569946	4469.8	39170
Inj-1	1746.790039	4406.2	39429
Inj-1	1747.030029	4364.1	40061
Inj-1	1747.280029	4587.1	40951
Inj-1	1747.900024	4630.3	40301
Inj-1	1748.050049	4497.4	38536
Inj-1	1748.189941	4520.2	39838
Inj-1	1748.339966	4370.8	38645
Inj-1	1748.51001	4429.3	40848
Inj-1	1748.689941	4282.4	38450
Inj-1	1749.140015	4315	41066
Inj-1	1750.280029	4440.4	39397
Inj-1	1750.410034	4464.4	39479
Inj-1	1750.75	4508.5	38672
Inj-1	1750.829956	4383.9	39442
Inj-1	1750.920044	4531.1	40708
Inj-1	1751.02002	4544.3	39185
Inj-1	1751.140015	4372.4	38480
Inj-1	1751.26001	4451.3	39832
Inj-1	1751.569946	4545.5	38019
Inj-1	1751.670044	4508.8	38348
Inj-1	1751.930054	4368.6	39275
Inj-1	1752.589966	4506.5	40618
Inj-1	1752.719971	4562.4	39193
Inj-1	1753.060059	4574.6	39364
Inj-1	1753.150024	4590	39686
Inj-1	1753.23999	4498.5	40726
Inj-1	1753.339966	4449.5	38749
Inj-1	1753.459961	4417.9	40730
Inj-1	1753.550049	4359.7	40290
Inj-1	1753.800049	4471.8	38856
Inj-1	1754.420044	4333.5	39820
Inj-1	1754.48999	4334.1	38465
Inj-1	1754.670044	4540.2	38968
Inj-1	1755.119995	4447.6	38644
Inj-1	1755.189941	4355.2	40027
Inj-1	1755.369995	4597.4	40231
Inj-1	1755.810059	4475.7	38867
Inj-1	1755.930054	4513.2	41102
Inj-1	1756.22998	4623.8	40016
Inj-1	1756.430054	4569.9	38083
Inj-1	1756.939941	4315	38436
Inj-1	1757.069946	4499.9	40300
Inj-1	1757.209961	4579	38814
Inj-1	1757.310059	4422.4	40015
Inj-1	1757.430054	4480.8	38124
Inj-1	1757.560059	4534.2	39569
Inj-1	1757.890015	4614.2	38144
Inj-1	1758.699951	4507.5	41085
Inj-1	1758.790039	4422.3	39149
Inj-1	1759.040039	4334.2	40733
Inj-1	1759.640015	4594.8	40364
Inj-1	1759.75	4346.8	39832
Inj-1	1760.01001	4387.8	39832
Inj-1	1760.660034	4520.7	39376
Inj-1	1760.719971	4381.9	41137
Inj-1	1760.859985	4537	40055
Inj-1	1761.22998	4439.1	38897
Inj-1	1761.300049	4293.1	39616
Inj-1	1761.48999	4321	38643
Inj-1	1761.589966	4636.3	39054
Inj-1	1761.849976	4351.3	39117
Inj-1	1761.910034	4590.3	39158
Inj-1	1761.97998	4350.3	38586
Inj-1	1762.060059	4447.9	40839
Inj-1	1762.109985	4618.8	39275
Inj-1	1762.170044	4387	38958
Inj-1	1762.319946	4561.6	38537
Inj-1	1762.359985	4341.5	38053
Inj-1	1762.400024	4309.4	40657
Inj-1	1762.449951	4571	38504
Inj-1	1762.5	4349.2	38345
Inj-1	1762.550049	4496.5	38622
Inj-1	1762.689941	4465	41061
Inj-1	1763.040039	4613	41180
Inj-1	1763.910034	4474.5	41161
Inj-1	1764.079956	4506	40223
Inj-1	1764.52002	4564.9	39836
Inj-1	1764.900024	4420.6	40427
Inj-1	1764.910034	4374.4	39271
Inj-1	1764.920044	4217.9	38139
Inj-1	1764.939941	4402.9	40601
Inj-1	1764.97998	4460.7	38899
Inj-1	1765	4211.7	38540
Inj-1	1765.060059	4187.6	40791
Inj-1	1765.199951	4395.7	39724
Inj-1	1765.219971	4505.3	38002
Inj-1	1765.27002	4464.9	39863
Inj-1	1765.390015	4181.5	40822
Inj-1	1765.410034	4227.7	38736
Inj-1	1765.47998	4336.9	41201
Inj-1	1765.660034	4320.3	39346
Inj-1	1765.699951	4344.6	40479
Inj-1	1765.790039	4354.2	40470
Inj-1	1766.030029	4506.1	38972
Inj-1	1766.079956	4380.6	40192
Inj-1	1766.150024	4243.5	40502
Inj-1	1766.209961	4311.6	39722
Inj-1	1766.27002	4293.1	39199
Inj-1	1766.329956	4322.3	38748
Inj-1	1766.47998	4255.9	40390
Inj-1	1766.859985	4491.2	39039
Inj-1	1766.920044	4434.6	38097
Inj-1	1767.050049	4360.1	38432
Inj-1	1767.369995	4370	38649
Inj-1	1767.430054	4503.5	40391
Inj-1	1767.579956	4260.4	39744
Inj-1	1767.949951	4400.5	39990
Inj-1	1768.02002	4293.6	39870
Inj-1	1768.199951	4208.4	39434
Inj-1	1768.640015	4394.6	38917
Inj-1	1768.699951	4490.7	38222
Inj-1	1768.849976	4180.6	39690
Inj-1	1768.949951	4437.4	38348
Inj-1	1769.199951	4503.1	38497
Inj-1	1769.290039	4276.8	39659
Inj-1	1769.52002	4290.6	38206
Inj-1	1770.089966	4476	40762
Inj-1	1770.160034	4206.2	38997
Inj-1	1770.339966	4452.2	39098
Inj-1	1770.790039	4513.4	39256
Inj-1	1770.900024	4322.1	40293
Inj-1	1771.150024	4423.5	38913
Inj-1	1771.790039	4513.8	40515
Inj-1	1771.869995	4372.6	40653
Inj-1	1772.079956	4294.2	40354
Inj-1	1772.599976	4404.7	39063
Inj-1	1772.689941	4185.7	39348
Inj-1	1772.930054	4358.8	40069
Inj-1	1773.52002	4275.8	38967
Inj-1	1773.670044	4274.4	38636
Inj-1	1774.060059	4237.9	38478
Inj-1	1774.209961	4315.2	38613
Inj-1	1774.569946	4498.3	39654
Inj-1	1774.660034	4518.5	40072
Inj-1	1774.76001	4245.3	40302
Inj-1	1774.869995	4486.8	40492
Inj-1	1774.97998	4262.7	38457
Inj-1	1775.089966	4306.3	38942
Inj-1	1775.359985	4202.7	38393
Inj-1	1776.030029	4297.4	41191
Inj-1	1776.140015	4266.9	39224
Inj-1	1776.400024	4333.4	41206
Inj-1	1777.040039	4491.8	39386
Inj-1	1777.170044	4351.8	41034
Inj-1	1777.48999	4364.7	40978
Inj-1	1777.569946	4301.8	40872
Inj-1	1777.660034	4425.8	40131
Inj-1	1777.75	4369.7	39975
Inj-1	1777.859985	4391.4	40531
Inj-1	1777.97998	4252.1	39988
Inj-1	1778.27002	4286.1	40959
Inj-1	1778.390015	4267.5	38728
Inj-1	1778.689941	4359.5	38104
Inj-1	1779.430054	4327.5	40712
Inj-1	1779.579956	4452.4	38102
Inj-1	1779.939941	4229.8	38131
Inj-1	1780.170044	4439.4	38804
Inj-1	1780.73999	4506.1	39002
Inj-1	1780.869995	4237.9	39518
Inj-1	1781.189941	4260.9	39336
Inj-1	1781.329956	4236.8	38405
Inj-1	1781.650024	4203.8	41146
Inj-1	1781.869995	4179.9	38912
Inj-1	1782.400024	4452.6	38808
Inj-1	1782.640015	4318.8	38449
Inj-1	1783.25	4337.6	40836
Inj-1	1783.430054	4201	38047
Inj-1	1783.880005	4437.4	39504
Inj-1	1784.050049	4420	39423
Inj-1	1784.459961	4308.5	40394
Inj-1	1784.560059	4190	40977
Inj-1	1784.670044	4331.8	39832
Inj-1	1784.800049	4165.6	38616
Inj-1	1784.930054	4316.9	39137
Inj-1	1785.089966	4408.6	38045
Inj-1	1785.459961	4507.2	40317
Inj-1	1785.560059	4450.4	40757
Inj-1	1785.660034	4324.2	40711
Inj-1	1785.780029	4169.9	40905
Inj-1	1785.900024	4511	40712
Inj-1	1786.040039	4497.5	40162
Inj-1	1786.180054	4334.6	40603
Inj-1	1786.300049	4486	40767
Inj-1	1786.410034	4185.8	40208
Inj-1	1786.689941	4506.9	38907
Inj-1	1786.76001	4490	40980
Inj-1	1786.839966	4475.5	38523
Inj-1	1786.930054	4334.3	40173
Inj-1	1787.02002	4229.9	39985
Inj-1	1787.130005	4179.6	40186
Inj-1	1787.390015	4211.8	39704
Inj-1	1788.040039	4278.2	40688
Inj-1	1788.189941	4235	40657
Inj-1	1788.569946	4465.3	40291
Inj-1	1788.660034	4228.7	40803
Inj-1	1788.77002	4231.3	39312
Inj-1	1788.880005	4322	40312
Inj-1	1789.01001	4207.9	38595
Inj-1	1789.150024	4202	40602
Inj-1	1789.5	4196.5	38161
Inj-1	1790.369995	4271.1	40845
Inj-1	1790.540039	4516.8	38648
Inj-1	1790.949951	4478.6	38573
Inj-1	1791.060059	4256.4	38158
Inj-1	1791.170044	4235.6	40250
Inj-1	1791.300049	4484.6	39149
Inj-1	1791.439941	4276	38134
Inj-1	1791.589966	4216.9	40205
Inj-1	1791.97998	4450.2	40689
Inj-1	1792.939941	4477.3	39025
Inj-1	1793.089966	4313.2	38613
Inj-1	1793.459961	4292.8	39333
Inj-1	1794.380005	4514.7	39338
Inj-1	1794.530029	4263.5	40047
Inj-1	1794.910034	4300.1	40415
Inj-1	1795	4439.8	39043
